Media Sources,Compound Score,Positive Score,Neutral Score,Negative Score,Tweet Text,Tweet ID,Date,Time_diff,Tweets Ago
New York Times,-0.3818,0.0,0.88,0.12,"In the battle to desegregate American public schools, black girls outnumbered black boys as plaintiffs by two to on… https://t.co/PZKJzixyJX",1025924649098592256,2018-08-05 02:01:11,0.0,1
New York Times,0.0,0.0,1.0,0.0,"At least twice in ancient history, humans have arrived to an Indonesian island and began to shrink. Scientists aren… https://t.co/RTUzPCTgBZ",1025924624532549632,2018-08-05 02:01:05,0.0016666666666666668,2
New York Times,-0.25,0.0,0.857,0.143,Experts warn that the seemingly endless stream of news about data breaches can instill a sense of fatalism — and co… https://t.co/86QLPFDIUs,1025920080008409088,2018-08-05 01:43:02,0.30083333333333334,3
New York Times,-0.3818,0.0,0.714,0.286,Cuomo Moves to Scrap N.R.A. Lawsuit Accusing Him of ‘Blacklisting’ https://t.co/jFg6VhD9yr,1025911056517005313,2018-08-05 01:07:11,0.5975,4
New York Times,-0.4019,0.084,0.728,0.188,Adults should be alert to telltale signs of eating disorders and take steps to stop the problem before it becomes e… https://t.co/UMgK1GkkPl,1025907935615090694,2018-08-05 00:54:46,0.20694444444444443,5
New York Times,0.0258,0.091,0.909,0.0,"Wines of The Times: Beyond Assyrtiko, Greek Whites Reach for Distinction https://t.co/z9CeoH4Rfq",1025903182352994304,2018-08-05 00:35:53,0.31472222222222224,6
New York Times,-0.5256,0.0,0.855,0.145,"Tom Cruise insists on doing his own stunts in ""Mission: Impossible."" Here are the 5 most dangerous stunts to pull o… https://t.co/Gjs8BRVXHO",1025900220507402240,2018-08-05 00:24:07,0.19611111111111112,7
New York Times,-0.4767,0.0,0.721,0.279,"Venezuelan President Targeted in Attack Attempt, Minister Says https://t.co/kaDNQythAo",1025895713052545024,2018-08-05 00:06:12,0.2986111111111111,8
New York Times,0.25,0.222,0.778,0.0,"Alright, stick with us here but… aliens https://t.co/1TeI0VPEFr",1025895436165570560,2018-08-05 00:05:06,0.018333333333333333,9
New York Times,-0.4767,0.0,0.829,0.171,"Venezuela's president was the target of an attempted drone attack, officials said. He was unhurt.
https://t.co/Y9xlVHWDPX",1025894995465842694,2018-08-05 00:03:21,0.029166666666666667,10
New York Times,0.0,0.0,1.0,0.0,LeBron James began posting workout videos to Instagram. Now everybody in the NBA seems to be posting workout videos… https://t.co/kSGJIScIkF,1025889837239492610,2018-08-04 23:42:51,0.3416666666666667,11
New York Times,0.0,0.0,1.0,0.0,Why the Government Wants to Know Your Citizenship Status https://t.co/ecViwTrFlq,1025885726527967232,2018-08-04 23:26:31,0.2722222222222222,12
New York Times,0.431,0.137,0.863,0.0,"It wasn't a crime to carry marijuana. Then four words from a 1977 law changed everything: ""Open to public view."" https://t.co/nkmcdelgTO",1025884591415062528,2018-08-04 23:22:01,0.075,13
New York Times,0.0,0.0,1.0,0.0,Diana Taurasi and Brittney Griner Are the W.N.B.A.’s Iconic Duo. Don’t Wait. https://t.co/vyaFFomULh,1025880136971956225,2018-08-04 23:04:19,0.295,14
New York Times,-0.3182,0.0,0.796,0.204,"Lack of Dental Coverage Hampers Medicaid Recipients, Suit Says https://t.co/X3rUxrN9qK",1025876956112461826,2018-08-04 22:51:40,0.21083333333333334,15
New York Times,0.3612,0.135,0.865,0.0,This buttery almond cake with lemon curd baked inside is like the ultimate citrus tart https://t.co/6aRoszp6FH https://t.co/xarZhJ0auC,1025874515962875904,2018-08-04 22:41:59,0.1613888888888889,16
New York Times,-0.4585,0.0,0.824,0.176,Rising carbon dioxide levels are making the world greener. But that’s nothing to celebrate. https://t.co/eg3WG1DzFu,1025870154989821953,2018-08-04 22:24:39,0.28888888888888886,17
New York Times,-0.1027,0.0,0.924,0.076,"New Jersey, in a first-of-its-kind initiative, has set aside millions to pay for community journalism. ""It’s one of… https://t.co/6MdRHSqVNX",1025865735212605441,2018-08-04 22:07:05,0.2927777777777778,18
